epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,11227,1.51691,0.87221,1.14621,0.81507,0.67929,0.78301,0.36375,1.83498,0.83854,1.20552,0.0048025,0.0048025,0.0048025
65,11402.9,1.50973,0.8628,1.14506,0.80781,0.68807,0.78373,0.3632,1.84101,0.83617,1.2077,0.00472,0.00472,0.00472
66,11578.5,1.50683,0.86709,1.14265,0.80009,0.68663,0.78269,0.36167,1.84704,0.83277,1.21116,0.0046375,0.0046375,0.0046375
67,11753.9,1.50526,0.86177,1.14215,0.79901,0.69295,0.78693,0.35936,1.85924,0.83063,1.21431,0.004555,0.004555,0.004555
68,11929.3,1.48798,0.84912,1.13879,0.80894,0.68755,0.79172,0.36272,1.85518,0.82375,1.21657,0.0044725,0.0044725,0.0044725
69,12104.7,1.49328,0.84965,1.13277,0.8107,0.68532,0.78752,0.36215,1.85893,0.82301,1.21849,0.00439,0.00439,0.00439
70,12280,1.47688,0.84182,1.13266,0.81364,0.68716,0.78721,0.36221,1.85899,0.81979,1.22003,0.0043075,0.0043075,0.0043075
71,12455.1,1.47926,0.83444,1.12933,0.81561,0.68583,0.78696,0.36533,1.84832,0.8173,1.21175,0.004225,0.004225,0.004225
72,12630.3,1.47109,0.83558,1.1253,0.81147,0.68532,0.78627,0.36998,1.83334,0.8131,1.20518,0.0041425,0.0041425,0.0041425
73,12805.6,1.46543,0.83076,1.12362,0.80301,0.68064,0.78304,0.36843,1.8282,0.81377,1.20414,0.00406,0.00406,0.00406
74,12980.8,1.46473,0.82659,1.1224,0.80059,0.68991,0.78268,0.37071,1.82092,0.81012,1.20043,0.0039775,0.0039775,0.0039775
75,13156.3,1.45144,0.81996,1.11492,0.80184,0.69908,0.78607,0.37273,1.80991,0.80763,1.19746,0.003895,0.003895,0.003895
76,13331.7,1.44858,0.81615,1.11648,0.79746,0.69715,0.7868,0.37163,1.8086,0.80494,1.19686,0.0038125,0.0038125,0.0038125
77,13506.9,1.44217,0.80801,1.11231,0.80957,0.69816,0.79082,0.37352,1.80502,0.80261,1.19437,0.00373,0.00373,0.00373
78,13682.5,1.43444,0.80565,1.1101,0.81118,0.69366,0.79065,0.37309,1.79454,0.80194,1.18906,0.0036475,0.0036475,0.0036475
